Family,Genus,Species,volant,Position,ShiftR,PrAb,Sampling,Grain,Quality,Start
Anobiidae,Anobium,Anobium punctatum,n,Leading edge,5.005,OCCUR,TWO,FINE,LOW,1902
Anthribidae,Platystomos,Platystomos albinus,n,Leading edge,5.809,OCCUR,TWO,FINE,LOW,1902
Aphodiidae,Agoliinus,Agoliinus satyrus,n,Centroid,-4.323,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Agoliinus,Agoliinus satyrus,n,Leading edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Agoliinus,Agoliinus satyrus,n,Trailing edge,2.581,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Euheptaulacus,Euheptaulacus carinatus,n,Trailing edge,-32,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Euheptaulacus,Euheptaulacus carinatus,n,Leading edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Euheptaulacus,Euheptaulacus carinatus,n,Centroid,6.903,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Melinopterus,Melinopterus abeillei,n,Trailing edge,0,ABUND,TWO,FINE,RESURVEYED,1981
Aphodiidae,Melinopterus,Melinopterus abeillei,n,Centroid,15.885,ABUND,TWO,FINE,RESURVEYED,1981
Aphodiidae,Melinopterus,Melinopterus abeillei,n,Leading edge,38.462,ABUND,TWO,FINE,RESURVEYED,1981
Aphodiidae,Oromus,Oromus alpinus,n,Centroid,-1.871,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Oromus,Oromus alpinus,n,Leading edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Oromus,Oromus alpinus,n,Trailing edge,9.032,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Acrossus,Acrossus depressus,n,Centroid,-15.806,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Acrossus,Acrossus depressus,n,Leading edge,-7.097,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Acrossus,Acrossus depressus,n,Trailing edge,2.903,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Amidorus,Amidorus immaturus,n,Leading edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Amidorus,Amidorus immaturus,n,Centroid,0.194,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Amidorus,Amidorus immaturus,n,Trailing edge,51.613,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Amidorus,Amidorus obscurus,n,Centroid,-6.387,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Amidorus,Amidorus obscurus,n,Leading edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Aphodiidae,Amidorus,Amidorus obscurus,n,Trailing edge,5.161,ABUND,TWO,FINE,RESURVEYED,1992
Brachyceridae,Simo,Simo hirticornis,n,Leading edge,2.526,OCCUR,TWO,FINE,LOW,1902
Brentidae,Ischnopterapion,Ischnopterapion virens,n,Leading edge,6.411,OCCUR,TWO,FINE,LOW,1902
Brentidae,Protapion,Protapion apricans,n,Leading edge,2.191,OCCUR,TWO,FINE,LOW,1902
Brentidae,Protapion,Protapion fulvipes,n,Leading edge,3.636,OCCUR,TWO,FINE,LOW,1902
Buprestidae,Anthaxia,Anthaxia quadripunctata,n,Leading edge,-0.325,OCCUR,TWO,FINE,LOW,1902
Buprestidae,Agrilus,Agrilus viridis,n,Leading edge,0.383,OCCUR,TWO,FINE,LOW,1902
Byrrhidae,Byrrhus,Byrrhus glabratus,n,Leading edge,4.498,OCCUR,TWO,FINE,LOW,1902
Byrrhidae,Byrrhus,Byrrhus pilula,n,Leading edge,4.813,OCCUR,TWO,FINE,LOW,1902
Byturidae,Byturus,Byturus tomentosus,n,Leading edge,5.589,OCCUR,TWO,FINE,LOW,1902
Cantharidae,Ancistronycha,Ancistronycha abdominalis,n,Leading edge,2.947,OCCUR,TWO,FINE,LOW,1902
Cantharidae,Cantharis,Cantharis livida,n,Leading edge,-0.057,OCCUR,TWO,FINE,LOW,1902
Cantharidae,Cantharis,Cantharis nigricans,n,Leading edge,2.22,OCCUR,TWO,FINE,LOW,1902
Cantharidae,Cantharis,Cantharis obscura,n,Leading edge,-6.182,OCCUR,TWO,FINE,LOW,1902
Cantharidae,Cantharis,Cantharis pagana,n,Leading edge,3.196,OCCUR,TWO,FINE,LOW,1902
Cantharidae,Cantharis,Cantharis pellucida,n,Leading edge,-0.411,OCCUR,TWO,FINE,LOW,1902
Cantharidae,Cratosilis,Cratosilis denticollis,n,Leading edge,0.574,OCCUR,TWO,FINE,LOW,1902
Cantharidae,Malthodes,Malthodes guttifer,n,Leading edge,-0.048,OCCUR,TWO,FINE,LOW,1902
Cantharidae,Podabrus,Podabrus alpinus,n,Leading edge,2.89,OCCUR,TWO,FINE,LOW,1902
Cantharidae,Podistra,Podistra schoenherri,n,Leading edge,0.459,OCCUR,TWO,FINE,LOW,1902
Cantharidae,Rhagonycha,Rhagonycha lignosa,n,Leading edge,2.536,OCCUR,TWO,FINE,LOW,1902
Cantharidae,Rhagonycha,Rhagonycha testacea,n,Leading edge,1.914,OCCUR,TWO,FINE,LOW,1902
Carabidae,Abax,Abax parallelepipedus,n,Leading edge,3.311,OCCUR,TWO,FINE,LOW,1902
Carabidae,Abax,Abax parallelus,n,Leading edge,0.986,OCCUR,TWO,FINE,LOW,1902
Carabidae,Acupalpus,Acupalpus flavicollis,n,Leading edge,3.426,OCCUR,TWO,FINE,LOW,1902
Carabidae,Agonum,Agonum muelleri,n,Leading edge,3.828,OCCUR,TWO,FINE,LOW,1902
Carabidae,Agonum,Agonum sexpunctatum,n,Leading edge,6.316,OCCUR,TWO,FINE,LOW,1902
Carabidae,Amara,Amara communis,n,Leading edge,4.603,OCCUR,TWO,FINE,LOW,1902
Carabidae,Amara,Amara familiaris,n,Leading edge,4.344,OCCUR,TWO,FINE,LOW,1902
Carabidae,Amara,Amara lunicollis,n,Leading edge,3.043,OCCUR,TWO,FINE,LOW,1902
Carabidae,Calathus,Calathus melanocephalus,n,Leading edge,-1.522,OCCUR,TWO,FINE,LOW,1902
Carabidae,Calathus,Calathus micropterus,n,Leading edge,0.823,OCCUR,TWO,FINE,LOW,1902
Carabidae,Carabus,Carabus auronitens,n,Leading edge,0.957,OCCUR,TWO,FINE,LOW,1902
Carabidae,Carabus,Carabus convexus,n,Leading edge,-0.727,OCCUR,TWO,FINE,LOW,1902
Carabidae,Carabus,Carabus glabratus,n,Leading edge,2.086,OCCUR,TWO,FINE,LOW,1902
Carabidae,Carabus,Carabus linnaei,n,Leading edge,5.703,OCCUR,TWO,FINE,LOW,1902
Carabidae,Carabus,Carabus sylvestris,n,Leading edge,2.584,OCCUR,TWO,FINE,LOW,1902
Carabidae,Carabus,Carabus violaceus,n,Leading edge,-0.938,OCCUR,TWO,FINE,LOW,1902
Carabidae,Bembidion,Bembidion lampros,n,Leading edge,4.612,OCCUR,TWO,FINE,LOW,1902
Carabidae,Bembidion,Bembidion mannerheimii,n,Leading edge,-1.321,OCCUR,TWO,FINE,LOW,1902
Carabidae,Bembidion,Bembidion quadrimaculatum,n,Leading edge,5.569,OCCUR,TWO,FINE,LOW,1902
Carabidae,Blennidus,Blennidus mucronatus,n,Leading edge,0,OCCUR,TWO,FINE,RESURVEYED,1985
Carabidae,Blennidus,Blennidus mucronatus,n,Trailing edge,0,OCCUR,TWO,FINE,RESURVEYED,1985
Carabidae,Cychrus,Cychrus attenuatus,n,Leading edge,6.411,OCCUR,TWO,FINE,LOW,1902
Carabidae,Cychrus,Cychrus caraboides,n,Leading edge,4.9,OCCUR,TWO,FINE,LOW,1902
Carabidae,Dercylus,Dercylus cordicollis,n,Leading edge,19.643,OCCUR,TWO,FINE,RESURVEYED,1985
Carabidae,Dromius,Dromius agilis,n,Leading edge,6.153,OCCUR,TWO,FINE,LOW,1902
Carabidae,Dyscolus,Dyscolus alpinus,n,Leading edge,3.571,OCCUR,TWO,FINE,RESURVEYED,1985
Carabidae,Dyscolus,Dyscolus denigratus,n,Leading edge,5.357,OCCUR,TWO,FINE,RESURVEYED,1985
Carabidae,Dyscolus,Dyscolus diopsis,n,Trailing edge,0,OCCUR,TWO,FINE,RESURVEYED,1985
Carabidae,Dyscolus,Dyscolus megacephalus,n,Leading edge,0,OCCUR,TWO,FINE,RESURVEYED,1985
Carabidae,Dyscolus,Dyscolus megacephalus,n,Trailing edge,2.857,OCCUR,TWO,FINE,RESURVEYED,1985
Carabidae,Dyscolus,Dyscolus oopteroides,n,Trailing edge,-1.786,OCCUR,TWO,FINE,RESURVEYED,1985
Carabidae,Dyscolus,Dyscolus oopteroides,n,Leading edge,5.357,OCCUR,TWO,FINE,RESURVEYED,1985
Carabidae,Dyscolus,Dyscolus oopteroides,n,Leading edge,10.714,OCCUR,TWO,FINE,RESURVEYED,1985
Carabidae,Elaphrus,Elaphrus cupreus,n,Leading edge,0.545,OCCUR,TWO,FINE,LOW,1902
Carabidae,Harpalus,Harpalus affinis,n,Leading edge,1.129,OCCUR,TWO,FINE,LOW,1902
Carabidae,Harpalus,Harpalus laevipes,n,Leading edge,2.545,OCCUR,TWO,FINE,LOW,1902
Carabidae,Harpalus,Harpalus latus,n,Leading edge,2.976,OCCUR,TWO,FINE,LOW,1902
Carabidae,Limodromus,Limodromus assimilis,n,Leading edge,-2.297,OCCUR,TWO,FINE,LOW,1902
Carabidae,Loricera,Loricera pilicornis,n,Leading edge,0.536,OCCUR,TWO,FINE,LOW,1902
Carabidae,Molops,Molops elatus,n,Leading edge,1.866,OCCUR,TWO,FINE,LOW,1902
Carabidae,Notiophilus,Notiophilus biguttatus,n,Leading edge,-2.201,OCCUR,TWO,FINE,LOW,1902
Carabidae,Pelmatellus,Pelmatellus columbiana,n,Leading edge,7.143,OCCUR,TWO,FINE,RESURVEYED,1985
Carabidae,Pterostichus,Pterostichus aethiops,n,Leading edge,-0.287,OCCUR,TWO,FINE,LOW,1902
Carabidae,Pterostichus,Pterostichus burmeisteri,n,Leading edge,1.761,OCCUR,TWO,FINE,LOW,1902
Carabidae,Pterostichus,Pterostichus diligens,n,Leading edge,0.124,OCCUR,TWO,FINE,LOW,1902
Carabidae,Pterostichus,Pterostichus melanarius,n,Leading edge,-1.522,OCCUR,TWO,FINE,LOW,1902
Carabidae,Pterostichus,Pterostichus niger,n,Leading edge,3.981,OCCUR,TWO,FINE,LOW,1902
Carabidae,Pterostichus,Pterostichus nigrita,n,Leading edge,4.804,OCCUR,TWO,FINE,LOW,1902
Carabidae,Pterostichus,Pterostichus oblongopunctatus,n,Leading edge,4,OCCUR,TWO,FINE,LOW,1902
